Date,Price,Open,High,Low,Vol.,Change %,Type
07/31/2018,64.35,64.35,64.35,64.35,,0.14%,Iron Ore Fines 62%
07/30/2018,64.26,64.26,64.26,64.26,,-0.09%,Iron Ore Fines 62%
07/27/2018,64.32,64.32,64.32,64.32,,0.27%,Iron Ore Fines 62%
07/26/2018,64.15,64.15,64.35,64.05,,-0.05%,Iron Ore Fines 62%
07/25/2018,64.18,64.18,65.3,64.05,,-0.09%,Iron Ore Fines 62%
07/24/2018,64.24,64.24,65.2,64.2,,0.06%,Iron Ore Fines 62%
07/23/2018,64.2,64.2,64.05,64.0,,0.49%,Iron Ore Fines 62%
07/20/2018,63.89,63.89,64.25,63.7,,-0.03%,Iron Ore Fines 62%
07/19/2018,63.91,63.91,64.35,63.6,,0.42%,Iron Ore Fines 62%
07/18/2018,63.64,63.64,63.7,63.5,,0.35%,Iron Ore Fines 62%
07/17/2018,63.42,63.42,63.5,63.4,,-0.08%,Iron Ore Fines 62%
07/16/2018,63.47,63.47,63.5,63.3,,0.43%,Iron Ore Fines 62%
07/13/2018,63.2,63.2,63.5,63.3,,-0.16%,Iron Ore Fines 62%
07/12/2018,63.3,63.3,63.4,62.75,,0.22%,Iron Ore Fines 62%
07/11/2018,63.16,63.16,63.4,62.25,,0.02%,Iron Ore Fines 62%
07/10/2018,63.15,63.15,63.5,63.0,,-0.03%,Iron Ore Fines 62%
07/09/2018,63.17,63.17,63.17,63.17,,0.38%,Iron Ore Fines 62%
07/06/2018,62.93,62.93,63.2,62.6,,-0.16%,Iron Ore Fines 62%
07/05/2018,63.03,63.03,63.9,63.0,,-1.28%,Iron Ore Fines 62%
07/04/2018,63.85,63.85,64.4,63.8,,-0.37%,Iron Ore Fines 62%
07/03/2018,64.09,64.09,65.75,64.0,,-0.14%,Iron Ore Fines 62%
07/02/2018,64.18,64.18,64.8,64.15,,-0.96%,Iron Ore Fines 62%
06/29/2018,64.8,64.8,64.8,64.8,,0.08%,Iron Ore Fines 62%
06/28/2018,64.75,64.75,64.75,64.75,,0.05%,Iron Ore Fines 62%
06/27/2018,64.72,64.72,64.72,64.72,,-0.08%,Iron Ore Fines 62%
06/26/2018,64.77,64.77,64.85,64.7,,0.19%,Iron Ore Fines 62%
06/25/2018,64.65,64.65,64.6,64.6,,-0.06%,Iron Ore Fines 62%
06/22/2018,64.69,64.69,64.7,64.7,,-0.02%,Iron Ore Fines 62%
06/21/2018,64.7,64.7,64.7,64.65,,-0.17%,Iron Ore Fines 62%
06/20/2018,64.81,64.81,64.8,64.5,,0.20%,Iron Ore Fines 62%
06/19/2018,64.68,64.68,65.35,64.5,,-0.99%,Iron Ore Fines 62%
06/18/2018,65.33,65.33,65.25,65.25,,-0.32%,Iron Ore Fines 62%
06/15/2018,65.54,65.54,66.0,65.5,,-0.53%,Iron Ore Fines 62%
06/14/2018,65.89,65.89,66.0,65.7,,0.35%,Iron Ore Fines 62%
06/13/2018,65.66,65.66,65.7,65.4,,-0.12%,Iron Ore Fines 62%
06/12/2018,65.74,65.74,66.0,65.1,,0.40%,Iron Ore Fines 62%
06/11/2018,65.48,65.48,65.5,65.0,,0.77%,Iron Ore Fines 62%
06/08/2018,64.98,64.98,65.2,64.85,,-0.57%,Iron Ore Fines 62%
06/07/2018,65.35,65.35,66.1,65.2,,0.21%,Iron Ore Fines 62%
06/06/2018,65.21,65.21,65.45,64.8,,0.56%,Iron Ore Fines 62%
06/05/2018,64.85,64.85,64.85,64.0,,1.04%,Iron Ore Fines 62%
06/04/2018,64.18,64.18,64.8,63.5,,-0.48%,Iron Ore Fines 62%
06/01/2018,64.49,64.49,65.25,64.1,,-2.21%,Iron Ore Fines 62%
05/31/2018,65.95,65.95,65.95,65.95,,0.18%,Iron Ore Fines 62%
05/30/2018,65.83,65.83,65.83,65.83,,-0.93%,Iron Ore Fines 62%
05/29/2018,66.45,66.45,66.45,66.45,,0.83%,Iron Ore Fines 62%
05/28/2018,65.9,65.9,65.9,65.9,,-0.12%,Iron Ore Fines 62%
05/25/2018,65.98,65.98,66.15,66.1,,-0.06%,Iron Ore Fines 62%
05/24/2018,66.02,66.02,65.9,65.85,,0.32%,Iron Ore Fines 62%
05/23/2018,65.81,65.81,65.9,65.7,,-0.18%,Iron Ore Fines 62%
05/22/2018,65.93,65.93,66.3,65.75,,-0.41%,Iron Ore Fines 62%
05/21/2018,66.2,66.2,66.75,66.0,,-1.19%,Iron Ore Fines 62%
05/18/2018,67.0,67.0,67.4,66.9,,-0.49%,Iron Ore Fines 62%
05/17/2018,67.33,67.33,67.75,67.05,,-0.33%,Iron Ore Fines 62%
05/16/2018,67.55,67.55,67.7,67.25,,-0.10%,Iron Ore Fines 62%
05/15/2018,67.62,67.62,68.3,67.2,,-0.43%,Iron Ore Fines 62%
05/14/2018,67.91,67.91,68.1,67.5,,1.04%,Iron Ore Fines 62%
05/11/2018,67.21,67.21,67.6,66.55,,1.22%,Iron Ore Fines 62%
05/10/2018,66.4,66.4,66.9,65.95,0.05K,0.64%,Iron Ore Fines 62%
05/09/2018,65.98,65.98,67.0,65.9,,-1.64%,Iron Ore Fines 62%
05/08/2018,67.08,67.08,67.35,66.65,,-1.74%,Iron Ore Fines 62%
05/07/2018,68.27,68.27,68.27,68.27,,1.82%,Iron Ore Fines 62%
05/04/2018,67.05,67.05,67.45,66.5,,0.03%,Iron Ore Fines 62%
05/03/2018,67.03,67.03,67.65,66.9,,-0.07%,Iron Ore Fines 62%
05/02/2018,67.08,67.08,67.3,66.1,0.10K,2.16%,Iron Ore Fines 62%
