Date,Price,Open,High,Low,Vol.,Change %,Type
04/22/2022,326.65,327.0,327.0,327.0,0.01K,-0.06%,Rotterdam Coal
04/21/2022,326.85,330.0,330.0,329.0,0.04K,-0.15%,Rotterdam Coal
04/20/2022,327.35,324.0,330.0,324.0,0.06K,1.50%,Rotterdam Coal
04/19/2022,322.5,322.0,322.5,322.0,0.06K,-0.02%,Rotterdam Coal
04/18/2022,322.55,322.55,322.55,322.55,,0.00%,Rotterdam Coal
04/14/2022,322.55,322.0,323.0,322.0,0.04K,0.37%,Rotterdam Coal
04/13/2022,321.35,320.0,322.25,320.0,0.11K,0.42%,Rotterdam Coal
04/12/2022,320.0,303.0,320.0,303.0,0.16K,6.67%,Rotterdam Coal
04/11/2022,300.0,300.0,303.0,300.0,0.12K,1.69%,Rotterdam Coal
04/08/2022,295.0,290.0,295.0,290.0,0.07K,5.09%,Rotterdam Coal
04/07/2022,280.7,290.0,290.0,290.0,0.27K,-3.42%,Rotterdam Coal
04/06/2022,290.65,300.0,303.0,295.0,0.41K,0.19%,Rotterdam Coal
04/05/2022,290.1,274.8,295.0,274.0,0.20K,10.73%,Rotterdam Coal
04/04/2022,262.0,255.0,257.0,255.0,0.06K,-1.28%,Rotterdam Coal
04/01/2022,265.4,272.0,272.0,272.0,0.02K,-2.78%,Rotterdam Coal
03/31/2022,273.0,267.0,273.0,267.0,0.09K,0.50%,Rotterdam Coal
03/30/2022,271.65,270.0,280.0,270.0,0.17K,1.25%,Rotterdam Coal
03/29/2022,268.3,275.0,279.0,265.0,0.18K,-0.78%,Rotterdam Coal
03/28/2022,270.4,270.0,275.0,270.0,0.12K,-16.76%,Rotterdam Coal
03/25/2022,324.85,324.0,324.0,324.0,0.01K,-0.06%,Rotterdam Coal
03/24/2022,325.05,326.0,326.0,324.75,0.10K,-0.55%,Rotterdam Coal
03/23/2022,326.85,326.0,326.5,324.5,0.04K,1.19%,Rotterdam Coal
03/22/2022,323.0,320.0,324.0,318.0,0.03K,1.51%,Rotterdam Coal
03/21/2022,318.2,313.0,320.0,310.0,0.05K,-1.79%,Rotterdam Coal
03/18/2022,324.0,324.0,324.0,324.0,0.01K,2.53%,Rotterdam Coal
03/17/2022,316.0,330.0,335.0,315.0,0.07K,1.28%,Rotterdam Coal
03/16/2022,312.0,325.0,325.0,310.0,0.02K,-7.21%,Rotterdam Coal
03/15/2022,336.25,362.0,362.0,350.0,0.05K,-5.90%,Rotterdam Coal
03/14/2022,357.35,362.0,362.0,362.0,0.06K,-1.81%,Rotterdam Coal
03/11/2022,363.95,375.0,375.0,360.0,0.15K,-0.97%,Rotterdam Coal
03/10/2022,367.5,390.0,390.0,365.0,0.12K,-12.08%,Rotterdam Coal
03/09/2022,418.0,425.0,435.0,395.0,0.06K,-4.78%,Rotterdam Coal
03/08/2022,439.0,425.0,425.0,425.0,0.12K,3.25%,Rotterdam Coal
03/07/2022,425.2,465.0,465.0,450.0,0.31K,-1.69%,Rotterdam Coal
03/04/2022,432.5,400.0,440.0,400.0,0.26K,22.26%,Rotterdam Coal
03/03/2022,353.75,410.0,410.0,380.0,0.17K,-18.96%,Rotterdam Coal
03/02/2022,436.5,350.0,435.0,350.0,0.37K,38.57%,Rotterdam Coal
03/01/2022,315.0,260.0,330.0,260.0,0.23K,23.89%,Rotterdam Coal
02/28/2022,254.25,235.0,261.0,230.0,0.43K,31.74%,Rotterdam Coal
02/25/2022,193.0,193.0,193.0,193.0,0.01K,-0.05%,Rotterdam Coal
02/24/2022,193.1,190.0,191.0,190.0,0.01K,1.29%,Rotterdam Coal
